ep,pid,ev,mu,sig,mean,best,ent,buf,step
463,3445746,+0.227,-0.00034,0.1,,,,,
464,3445746,-0.015,-0.00034,0.1,,,,,
465,3445746,+0.062,-0.00034,0.1,,,,,
466,3445746,+0.078,-0.00034,0.1,,,,,
467,3445746,-0.026,-0.00034,0.1,,,,,
468,3445746,-0.862,-0.00034,0.1,,,,,
469,3445746,-0.113,-0.00034,0.1,,,,,
470,3445746,-0.147,-0.00034,0.1,,,,,
471,3445746,-0.056,-0.00034,0.1,,,,,
472,3445746,+0.740,-0.00034,0.1,,,,,
473,3445746,-0.084,-0.00034,0.1,,,,,
474,3445746,-0.371,-0.00034,0.1,,,,,
475,3445746,-0.077,-0.00034,0.1,,,,,
476,3445746,+0.056,-0.00034,0.1,,,,,
477,3445746,-4.188,-0.00034,0.1,,,,,
478,3445746,-1.212,-0.00034,0.1,,,,,
479,3445746,+0.086,-0.00034,0.1,,,,,
480,3445746,+0.087,-0.00034,0.1,,,,,
481,3445746,+0.020,-0.00034,0.1,,,,,
482,3445746,-0.831,-0.00034,0.1,,,,,
483,3445746,-0.024,-0.00034,0.1,,,,,
484,3445746,-0.037,-0.00034,0.1,,,,,
485,3445746,-0.043,-0.00034,0.1,,,,,
486,3445746,-0.257,-0.00034,0.1,,,,,
487,3445746,-0.036,-0.00034,0.1,,,,,
488,3445746,-0.004,-0.00034,0.1,,,,,
489,3445746,-0.017,-0.00034,0.1,,,,,
490,3445746,+0.616,-0.00034,0.1,,,,,
491,3445746,-1.131,-0.00034,0.1,,,,,
492,3445746,-0.029,-0.00034,0.1,,,,,
493,3445746,+0.015,-0.00034,0.1,,,,,
494,3445746,-0.205,-0.00034,0.1,,,,,
495,3445746,-0.759,-0.00034,0.1,,,,,
496,3445746,-0.045,-0.00034,0.1,,,,,
497,3445746,-0.357,-0.00034,0.1,,,,,
498,3445746,-1.988,-0.00034,0.1,,,,,
499,3445746,-0.472,-0.00034,0.1,,,,,
500,3445746,+0.296,-0.00034,0.1,,,,,
501,3445746,-0.802,-0.00034,0.1,,,,,
502,3445746,-0.091,-0.00034,0.1,,,,,
503,3445746,-0.002,-0.00034,0.1,,,,,
504,3445746,-0.264,-0.00034,0.1,,,,,
505,3445746,-0.172,-0.00034,0.1,,,,,
506,3445746,+0.018,-0.00034,0.1,,,,,
507,3445746,-0.109,-0.00034,0.1,,,,,
508,3445746,+0.067,-0.00034,0.1,,,,,
509,3445746,-0.333,-0.00034,0.1,,,,,
510,3445746,-0.456,-0.00034,0.1,,,,,
511,3445746,-0.005,-0.00034,0.1,,,,,
512,3445746,-0.089,-0.00034,0.1,,,,,
513,3445746,+0.066,-0.00034,0.1,,,,,
514,3445746,+0.043,-0.00034,0.1,,,,,
515,3445746,+0.538,-0.00034,0.1,,,,,
516,3445746,-0.307,-0.00034,0.1,,,,,
517,3445746,-0.073,-0.00034,0.1,,,,,
518,3445746,+0.423,-0.00034,0.1,,,,,
519,3445746,-0.893,-0.00034,0.1,,,,,
520,3445746,-0.306,-0.00034,0.1,,,,,
521,3445746,-0.077,-0.00034,0.1,,,,,
522,3445746,-1.863,-0.00034,0.1,,,,,
523,3445746,-0.159,-0.00034,0.1,,,,,
524,3445746,+0.105,-0.00034,0.1,,,,,
525,3445746,-0.726,-0.00034,0.1,,,,,
526,3445746,-0.054,-0.00034,0.1,,,,,
527,3445746,-0.105,-0.00034,0.1,,,,,
528,3445746,-0.766,-0.00034,0.1,,,,,
529,3445746,+0.106,-0.00034,0.1,,,,,
530,3445746,+0.085,-0.00034,0.1,,,,,
531,3445746,-0.190,-0.00034,0.1,,,,,
532,3445746,-0.211,-0.00034,0.1,,,,,
533,3445746,-0.007,-0.00034,0.1,,,,,
534,3445746,-0.239,-0.00034,0.1,,,,,
535,3445746,-0.083,-0.00034,0.1,,,,,
536,3445746,+0.125,-0.00034,0.1,,,,,
537,3445746,-0.237,-0.00034,0.1,,,,,
538,3445746,+0.284,-0.00034,0.1,,,,,
539,3445746,-0.130,-0.00034,0.1,,,,,
540,3445746,-0.045,-0.00034,0.1,,,,,
541,3445746,-0.343,-0.00034,0.1,,,,,
