ep,pid,ev,mu,sig,mean,best,ent,buf,step
365,3699610,-0.163,-0.00034,0.1,,,,,
366,3699610,-7.301,-0.00034,0.1,,,,,
367,3699610,-5.054,-0.00034,0.1,,,,,
368,3699610,+0.443,-0.00034,0.1,,,,,
369,3699610,-0.773,-0.00034,0.1,,,,,
370,3699610,+0.328,-0.00034,0.1,,,,,
371,3699610,+0.343,-0.00034,0.1,,,,,
372,3699610,-1.279,-0.00034,0.1,,,,,
373,3699610,+0.217,-0.00034,0.1,,,,,
374,3699610,-1.697,-0.00034,0.1,,,,,
375,3699610,+0.398,-0.00034,0.1,,,,,
376,3699610,+0.538,-0.00034,0.1,,,,,
377,3699610,+0.458,-0.00034,0.1,,,,,
378,3699610,-0.684,-0.00034,0.1,,,,,
379,3699610,+0.179,-0.00034,0.1,,,,,
380,3699610,-1.632,-0.00034,0.1,,,,,
381,3699610,+0.433,-0.00034,0.1,,,,,
382,3699610,+0.111,-0.00034,0.1,,,,,
383,3699610,+0.507,-0.00034,0.1,,,,,
384,3699610,+0.436,-0.00034,0.1,,,,,
385,3699610,-0.287,-0.00034,0.1,,,,,
386,3699610,-0.150,-0.00034,0.1,,,,,
387,3699610,-3.222,-0.00034,0.1,,,,,
388,3699610,-1.878,-0.00034,0.1,,,,,
389,3699610,-0.009,-0.00034,0.1,0.612,,,,
390,3699610,-0.051,-0.00034,0.1,,,,,
391,3699610,-0.494,-0.00034,0.1,,,,,
392,3699610,-0.332,-0.00034,0.1,,,,,
393,3699610,-0.324,-0.00034,0.1,,,,,
394,3699610,+0.654,-0.00034,0.1,,,,,
395,3699610,+0.551,-0.00034,0.1,,,,,
396,3699610,-0.696,-0.00034,0.1,,,,,
397,3699610,-0.021,-0.00034,0.1,,,,,
398,3699610,-0.020,-0.00034,0.1,,,,,
399,3699610,-0.101,-0.00034,0.1,,,,,
400,3699610,-0.074,-0.00034,0.1,,,,,
401,3699610,+0.186,-0.00034,0.1,,,,,
402,3699610,-8.338,-0.00034,0.1,,,,,
403,3699610,-4.205,-0.00034,0.1,,,,,
404,3699610,-3.984,-0.00034,0.1,,,,,
405,3699610,+0.009,-0.00034,0.1,,,,,
406,3699610,-0.135,-0.00034,0.1,,,,,
407,3699610,+0.727,-0.00034,0.1,,,,,
408,3699610,+0.152,-0.00034,0.1,,,,,
409,3699610,+0.054,-0.00034,0.1,,,,,
410,3699610,-0.291,-0.00034,0.1,,,,,
411,3699610,+0.504,-0.00034,0.1,,,,,
412,3699610,+0.559,-0.00034,0.1,,,,,
413,3699610,-1.225,-0.00034,0.1,,,,,
414,3699610,+0.292,-0.00034,0.1,,,,,
415,3699610,+0.357,-0.00034,0.1,,,,,
416,3699610,-1.702,-0.00034,0.1,,,,,
417,3699610,-0.149,-0.00034,0.1,,,,,
418,3699610,+0.621,-0.00034,0.1,,,,,
419,3699610,-0.027,-0.00034,0.1,,,,,
420,3699610,+0.181,-0.00034,0.1,,,,,
421,3699610,+0.583,-0.00034,0.1,,,,,
422,3699610,+0.186,-0.00034,0.1,,,,,
423,3699610,+0.556,-0.00034,0.1,,,,,
424,3699610,-0.117,-0.00034,0.1,,,,,
425,3699610,+0.572,-0.00034,0.1,,,,,
426,3699610,-0.005,-0.00034,0.1,,,,,
427,3699610,-0.143,-0.00034,0.1,,,,,
428,3699610,-0.555,-0.00034,0.1,,,,,
429,3699610,-0.472,-0.00034,0.1,,,,,
430,3699610,-0.370,-0.00034,0.1,,,,,
431,3699610,+0.793,-0.00034,0.1,,,,,
432,3699610,-0.150,-0.00034,0.1,,,,,
433,3699610,-0.264,-0.00034,0.1,,,,,
434,3699610,+0.384,-0.00034,0.1,,,,,
435,3699610,-0.533,-0.00034,0.1,,,,,
436,3699610,+0.654,-0.00034,0.1,,,,,
437,3699610,-0.379,-0.00034,0.1,,,,,
438,3699610,-0.301,-0.00034,0.1,,,,,
439,3699610,-0.143,-0.00034,0.1,,,,,
440,3699610,+0.687,-0.00034,0.1,,,,,
441,3699610,-0.130,-0.00034,0.1,,,,,
442,3699610,-1.321,-0.00034,0.1,,,,,
443,3699610,+0.705,-0.00034,0.1,,,,,
444,3699610,+0.102,-0.00034,0.1,,,,,
445,3699610,-0.984,-0.00034,0.1,,,,,
446,3699610,+0.111,-0.00034,0.1,,,,,
447,3699610,+0.689,-0.00034,0.1,,,,,
448,3699610,+0.072,-0.00034,0.1,,,,,
449,3699610,+0.716,-0.00034,0.1,,,,,
450,3699610,+0.703,-0.00034,0.1,,,,,
451,3699610,+0.174,-0.00034,0.1,,,,,
452,3699610,-0.236,-0.00034,0.1,,,,,
453,3699610,+0.324,-0.00034,0.1,,,,,
454,3699610,+0.686,-0.00034,0.1,,,,,
455,3699610,+0.750,-0.00034,0.1,,,,,
456,3699610,+0.645,-0.00034,0.1,,,,,
457,3699610,+0.591,-0.00034,0.1,,,,,
458,3699610,+0.040,-0.00034,0.1,,,,,
459,3699610,+0.460,-0.00034,0.1,,,,,
460,3699610,+0.537,-0.00034,0.1,,,,,
461,3699610,+0.590,-0.00034,0.1,,,,,
462,3699610,+0.324,-0.00034,0.1,,,,,
463,3699610,-2.308,-0.00034,0.1,,,,,
464,3699610,-0.098,-0.00034,0.1,,,,,
465,3699610,-0.087,-0.00034,0.1,,,,,
466,3699610,-0.013,-0.00034,0.1,,,,,
467,3699610,+0.275,-0.00034,0.1,,,,,
468,3699610,+0.578,-0.00034,0.1,,,,,
469,3699610,-0.361,-0.00034,0.1,,,,,
470,3699610,+0.632,-0.00034,0.1,,,,,
471,3699610,+0.703,-0.00034,0.1,,,,,
472,3699610,+0.643,-0.00034,0.1,,,,,
473,3699610,+0.688,-0.00034,0.1,,,,,
474,3699610,-0.892,-0.00034,0.1,,,,,
475,3699610,+0.340,-0.00034,0.1,,,,,
476,3699610,+0.532,-0.00034,0.1,,,,,
477,3699610,+0.011,-0.00034,0.1,,,,,
478,3699610,-8.304,-0.00034,0.1,,,,,
479,3699610,+0.382,-0.00034,0.1,,,,,
480,3699610,-0.028,-0.00034,0.1,,,,,
481,3699610,-3.608,-0.00034,0.1,,,,,
482,3699610,+0.250,-0.00034,0.1,,,,,
483,3699610,-0.027,-0.00034,0.1,,,,,
484,3699610,+0.137,-0.00034,0.1,,,,,
485,3699610,+0.765,-0.00034,0.1,,,,,
486,3699610,-0.017,-0.00034,0.1,,,,,
487,3699610,+0.717,-0.00034,0.1,,,,,
488,3699610,-0.463,-0.00034,0.1,,,,,
489,3699610,+0.660,-0.00034,0.1,,,,,
490,3699610,+0.584,-0.00034,0.1,,,,,
491,3699610,+0.854,-0.00034,0.1,,,,,
492,3699610,+0.718,-0.00034,0.1,,,,,
493,3699610,+0.804,-0.00034,0.1,,,,,
494,3699610,-0.179,-0.00034,0.1,,,,,
495,3699610,+0.356,-0.00034,0.1,,,,,
496,3699610,+0.801,-0.00034,0.1,,,,,
497,3699610,+0.804,-0.00034,0.1,,,,,
498,3699610,+0.493,-0.00034,0.1,,,,,
499,3699610,+0.801,-0.00034,0.1,,,,,
500,3699610,-1.104,-0.00034,0.1,,,,,
501,3699610,-0.140,-0.00034,0.1,,,,,
502,3699610,+0.275,-0.00034,0.1,,,,,
503,3699610,-2.334,-0.00034,0.1,,,,,
504,3699610,+0.515,-0.00034,0.1,,,,,
505,3699610,+0.633,-0.00034,0.1,,,,,
506,3699610,+0.633,-0.00034,0.1,,,,,
507,3699610,+0.692,-0.00034,0.1,,,,,
508,3699610,+0.528,-0.00034,0.1,,,,,
509,3699610,+0.740,-0.00034,0.1,,,,,
510,3699610,-0.349,-0.00034,0.1,,,,,
511,3699610,+0.517,-0.00034,0.1,,,,,
